"full_name","serving_state","Associate","Bach","Graduate","Law","Med_Or_PhD"
"Mike Rounds","SD","No Associate's","South Dakota State University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Simpson","ID","No Associate's","Utah State University","No Graduate Degree","No Law Degree","Medical Degree or PhD"
"Mike Thompson","CA","No Associate's","California State University Chico","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Mike Turner","OH","No Associate's","Political Science Ohio Northern University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mikie Sherrill","NJ","No Associate's","United States Naval Academy","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mitch McConnell","KY","No Associate's","University of Louisville","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Mitt Romney","UT","No Associate's","Brigham Young University","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Monica De La Cruz","TX","No Associate's","University of Texas, San Antonio","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Morgan Griffith","VA","No Associate's","Emory & Henry College","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Morgan Luttrell","TX","No Associate's","Sam Houston State University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Morgan McGarvey","KY","No Associate's","University of Missouri","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nancy Mace","SC","No Associate's","The Citadel","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nancy Pelosi","CA","No Associate's","Trinity College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nanette Barragán","CA","No Associate's","University of California, Los Angeles","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nathaniel Moran","TX","No Associate's","Texas Tech University","No Graduate Degree","Law Degree","No Medical Degree or PhD"
"Neal Dunn","FL","No Associate's","Washington and Lee University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nellie Pou","NJ","No Associate's","NONE","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nick LaLota","NY","No Associate's","U.S. Naval Academy at Annapolis","Graduate Degree","Law Degree","No Medical Degree or PhD"
"Nick Langworthy","NY","No Associate's","Niagara University","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nicole Malliotakis","NY","No Associate's","Seton Hall University","Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nikema Williams","GA","No Associate's","Talladega College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Nikki Budzinski","IL","No Associate's","University of Illinois, Urbana-Champaign","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
"Norma Torres","CA","No Associate's","National Labor College","No Graduate Degree","No Law Degree","No Medical Degree or PhD"
